short_id,lon,lat,description
401534,,,الاشي الوحيد يلي مصبرني على العيشة بغزة هو البحر و انتي
401616,,,"i remember our first kiss
it was heaven, you were heaven i still miss you everyday"
402282,,,I miss you Mohammad
402627,,,first person i came out to was my father. whenever i want speak to someone about my deep secrets  i come to the cemetery and speak to dad. I know if you were alive now I wouldn't have been able to tell you that im gay. but i dont have anybody else to speak to not even my close friends
402805,,,"I will never support the occupation, I promise. 

Love from the UK"
403462,,,I’m gay and I’m Jewish💗
403465,,,Gay+Jewish 💗
403546,,,"I received messages at grindr from Israeli men wearing military uniform saying ‘ they will kill me’ with photos of D9-Z  machine guns with laughing faces just few hours after I landed at the airport. I had to delete the Palestinian flag next to my name to stop receiving these kinds of messages. This was my first time visiting the land my grandparents were kicked out of , using the privilege  of having a Canadian passport."
403590,,,"i despise colonizers specially the queer ones, my heart is full of hate"
403602,,,"""There are 2 issues of our time, that amount to a litmus test for morality. What you're prepared to do for Palestinians and what you're prepared to for gay and lesbian peoples.""   -June Jordan❤️"
403974,,,"when I came out as bi to my parents I started crying, my mom laughed a bit and said 'you don't need to cry' and my dad just say 'we love you'."
403986,,,"rest in peace Shira Banki, a true ally."
404012,,,"i had a dream about you today, im sorry for lying.im sorry for all the things ive made you go through. you may never see this or you might see it but don't know that this about you. i love you"
404203,,,I’m gay and Jewish I would never 💖
404218,,,"During the Palestinian nakba, my grandparents were forced out of their land to Lebanon. Later on, my family immigrated to France during the Lebanese civil war. The only thing grandpa got from the house before fleeing was the key and a picture of him and grandma infront their house. He would always talk about jaffa oranges , his house and the Mediterranean sea. I grew up wanting to know how I am, where I’m originally from so in 2017 I decided to search from my grandparents original house in old Jaffa. Long story short, with the help of Palestinians living there we found the stairs that used to lead to my grandfather's house , we found the house . We found the lighted window which was once a kitchen window. As a queer Palestinian,  the only time I felt angry and broken about seeing a pride flag was when I saw it flying on grandparents house, on my stolen land."
404223,,,curly black hair with hazel eyes u make me nervous
404229,,,We kissed under a tree while someone was playing guitar and singing spacetoon songs
404854,,,"Dear readers, this land is called palestine❤️"
405005,,,"I still remember when you held my hand, I felt so shy at that time."
405089,,,The Pride parade was held on ethnically cleansed Palestinian villages
407266,,,"we are palestinian refugees , some of us are queer. somewhere here a Palestinian village called Kafr 'Ana used to exist. i visited it yesterday and i wanted to document it on this website to remind my fellow queer family around the world that israel is a settler colony. i finally went to visit the place i hesitated for a very long time. non of my family members wanted to come , they told me they cant bare the pain standing on a place that was once a village. on my way to Kafr 'Ana i let the driver stop next to a house with oranges & a big israeli flag. i picked up some oranges as fast as I could before the owner of the house sees me. ' Its okay to do so , you're in your land ' said the driver. After we arrived to  Kafr 'Ana, i did something special , i picked up a bag and collected sand to my dad. he will definitely be happy. after that i went and touched the Mediterranean sea , the sea that was the biggest witness to our catastrophe."
408437,,,"70+ years ago my grandfather was pushed out by force by Eastern European settlers and was forced to go to Egypt, one year ago my sister and I had the opportunity to be in the Um Khaled City, palestine. Which is the original name of the land. It was renamed Netanya after the Nakba. At that time my sister didn’t know she was pregnant weeks later she knew, she told me she was happy that part of this baby’s couple weeks was exercising our right to return and I truly think the baby (he)  is lucky"
408634,,,im in the protest from lgbt rights  they will never silence us
415269,,,Of course :)
418872,,,I wish I could have you
419464,,,🇵🇸
421122,,,"didn’t love you the way i should have, and now i think about you every day. you found a girl and you’re happy, but i wish i was that girl with you.  out and happy."
421666,,,confessed to my now gf here :)
423878,,,Stay safe y’all ❤️
423997,,,free palestine 🇵🇸
423998,,,free palestine 🇵🇸
425912,,,I had my first kiss with the love of my life after a long night of being so intimate and close to her. I miss her
425914,,,We made love for the last time before you left. Our first kiss was in P.T and our last kiss was also there
425916,,,I fell in love with you again. Had the most amazing sex here
425918,,,You surprised me with the most amazing night here. We made love all night and then walked on the beach. I loved you so much that night I thought my heart would explode
425923,,,Your old home was here. I have good memories with you from there (except for the time your brother caught us)
441484,,,"I live in Israel. The political state is garbage. This country is burning before my eyes. I went to protests, I voted. People are fighting each other! People are violent with each other! Many rights are going to be taken! All because of that DAMN Bibi! He is in trial! He wants to be prime minister forever and tries to make up new rules that basically let him be prime minister while having allegations against him! People and politicians are supporting him. The sane people are trying to go against him. Nothing is ever going to change if he is still allowed to be a politician. Help"
442580,,,"I’m from rafah and she’s from deir al balah, she got married later and i left gaza strip, to this day i think of you, to this day i wish to be back to sleep with you in the same bed, i want you to call for my name again, i wish if i can be with you again my heart. بحبك وبالرغم من الي صار دايما في بالي."
442592,,,"Realizing the feelings i had for you were more than adoration, realizing that wanting to see you everyday, to be with you and talk to you, for you to call me by my petname that you gave me, i miss you beyond words can describe, i wish if i had the courage to tell you but again i was scared, I didn’t want to cause you any trouble. Now both of us outside gaza strip, but much far a way from each other, بحبك وبخيالي انتي كمان بتحبيني."
461035,,,"we exchanged meaningful glances just in a very small, seemingly meaningless interaction but we recognized each other for who we really are and it felt so relieving to finally be truly seen, even tho it was just for a few seconds."
461221,,,i was too scared of falling in love with u that i pushed u away i think we both needed some space to think know its for the better
478157,,,free palestine  - from france
494683,,,i love you more than you can imagine
497442,,,"around here would be where i live if palestine hadent been taken under colonization. i am a teenage bigender, bi aromantic palestinian-syrian person. i always miss my homeland even when ive never even been there. free palestine until its backwards. i live in amman and i go to school in khalda. i love you maya, youre my best friend even though i know you dont love me back </3."
507559,,,"عندنا خوف من المستقبل بس الاشي الوحيد الي بنفكر فيه انه بدنا نكون سوا
كتير بحبها"
514075,,,Jesus is pretty gay🏳️‍🌈
515377,,,"I go to school here, had my first two (so far) real crushes here, I hope to get my first gf soon. I was also for the first time was told that someone (happens to be the first girl I had had a crush on) that she liked me too. (Was after our crushes ended so we didn’t date) 
2023 (if I get a gf during my time in school maybe I’ll update lol)"
519863,,,"A gay trans dude happened to be born here. My family left the country when I was a toddler. We came back for a visit in 2014, when I was a teen, arriving a few days before the Gaza War started. I remember hearing sirens, going into bomb shelters, and nothing happening to me or anyone else. Looking down at my phone and see crowds in Gaza standing next to bombed buildings, people hurt and killed. Later, I saw a tank on the highway - just a tiny taste of something I couldn't begin to imagine. Hoping Palestine can be free and united soon."
571013,,,"realized how much your eyes shine when you were out of your military uniform.
absolutely wrecked you at bowling."
591044,,,"I hope Palestine will be free in the future. We support you from Ukraine 
love you gays all over the world"
600479,,,i was here for a queer exchange that i didnt know would absolutely change my life. thank you
605584,,,"A gay Palestinian man in Gaza in hated by people for being gay and hated by the Israelis for being Palestinian I am so lost and alone. It always felt like I would have to give up parts of my identity to exist and that I would never be excepted by anyone. But I know and I have realized THAT I HAVE TO STAY STRONG to fight for my rights not only as a gay person here but as a GAY PALESTINIAN PERSON I will choose parts of my identity I AHVE found peace within myself and now I have realized I have to be strong ❤️❤️ FREE PALESTINE 🇵🇸, LGBTQAI+ RIGHTS FOR EVERYONE EVERYWHERE 🏳️‍🌈🏳️‍⚧️!! BE STRONG EVERYONE DONT GIVE UP! ❤️"
611745,,,around this place 3 years ago I came to terms with my sexuality. After growing up in a religious household I understood why I am the way I am.
632591,,,"I thought you were cool the second you stepped your foot in that class. I don't know what was it about you but, i couldn't get my eyes off you. When the teacher called your name and you raised your hand she seemed a bit confused... For the suprise of the whole class she opened her mouth and in a quite odd tone she said, ""but you aren't a girl?"". You hurried to add ""well, you see, im trans"". 
That's the first time I've met a real life trans person. In that moment, it clicked. After two long excruciating years, i came out to my first person ever as trans. It was you. In the exact spot you came out to me and too many more people (as you told me years later).
Thank you. Im free now."
632594,,,"Here i came out to my family as the wrong thing. 
Im not genderfluid apparently. Just trans. (:"
633654,,,"Had my first kiss here, we haven't talked since then, but that kiss made me realize so many things about myself.

Hope he is doing ok"
635495,,,Thinking back on my time here from years ago aches my heart but also leaves me with a bittersweet feeling. It's the feeling I get when I remember all of the struggles I faced and how I overcame the worst of it and got myself back up. Kind of f*cked up how I miss all of it despite being in a better place now. Wonder why..
635501,,,Walking home in the middle of the night. Street lights are out. Air is foggy. Breeze is cold. Butterflies in my stomach. It's a long walk and there's a lot to think about.
637002,,,First date here....I still miss you
637026,,,"Many girls in one place, I know I'm not the only one"
637075,,,"it is here in my home, that i am finally learning to accept that i am a lesbian, after 10 years of knowing and hiding my identity around people who would judge me, i am finally ready to come out to my family, and to meet my wife 🤍"
637081,,,"ah, here it was. the place that i fell in love with an older woman… we were both really orthodox and i never thought it would happen, but at the beginning of covid, as we were locked down in our little campus, she shared her feelings for me too. we spent the next few months together and she opened in me something new… she was the first woman i had sex with and she was the first woman to truly break my heart… she left swiftly and we never even said goodbye, and i haven’t seen her since…. CE if you see this though i don’t think you would… you know who i am"
637083,,,i did my gap year here at SFW… i was so in love with this girl but we never shared our feelings… i just knew. she even flew me to the states because i needed to see a doctor! she literally flew for a weekend just for me… i told a teacher i was gay and she told me that i would just need to meet the right man who is eventually learn to love…ֶhahah not the vibe
637400,,,Came out to many girls and some sem staff. I realized here that I can be frum and queer 💕
637402,,,The first time I heard a Rabbi publicly acknowledge that gay people aren't inherently evil and I cried. I cried alot this year. Many happy tears. Many tears of shame and regret as well. But for the first time I felt like I had a future in the Jewish community.
637538,,,"Where I met my long-term girlfriend and I stayed in the closet for her, we shared a passionate love that barely saw itself outside of those walls but we liked being in our bubble we really did love each other. I think everyone knew but we wanted to believe that they didn't"
637541,,,"We sat here one morning and we discussed our future, what type of mums we would be, how we will run our household, what values would we emphasise, that was one of our last days together and I will always cherish it"
637823,,,"Doing this out of spite. 
I'm well aware I'll NEVER come to terms with who I really am."
638540,,,"I went to seminary here. I didn't have a very good experience, but my classes were wonderful and I made great friends. If you're queer and in any seminary really- you're NOT alone. There are so many people who see you and love you."
639012,,,I sat here for hours speaking to you on the phone. Long distance was hard. I craved your touch for 2 years.
639018,,,You're not alone. Lesbian jew here. We always existed and it's ok to live authentically to who you know you are;))) sending love xoxo
663379,,,i will never lose hope in us no matter how long it takes we will be together soon
685501,,,"Idk how long I will live so I just want this to be my memory here before I die. I am not going to leave my home, come what may. My biggest regret is not kissing this one guy. He died two days back. We had told how much we like each other and I was too shy to kiss last time. He died in the bombing. I think a big part of me died too. And soon I will be dead. To younus, i will kiss you in heaven."
691421,,,"free Palestine, my love was taken from me because of the occupation and borders. I will always love you joj"
691797,,,"The place where you died, even though we were only penpals, I love you to my core, 5 years of the best friendship. Ahmad died of the airstrike, you died of heartbreak. Khalid, I love you, I loved the way you came out to me, how I came out to you, how you introduced Ahmad as your boyfriend, I wanted to share your hurts with me, but we're seas apart, I'll free Palestine just for your eyes. I hope you rest well in heaven, kiss Ahmad all you want, and be very happy, in this life or another I'll follow you, and we can unite, I love you to Icarus and beyond 💗"
693608,,,"You held my hand, cooked me fresh pasta and kissed my neck. We discussed languages, religion, politics, culture, history and music. You understood the world, you understood me. In case I wasn’t clear in expressing how appreciative I was- I wanted you to know that you were the healthiest relationship I’ve ever been in. You gave me hope for what queer Palestine could look like. I hate that israeli checkpoints made us live in different cities and drift apart. I wish you all the good in the world, you deserve it."
695860,,,"This is where I first fell for you. It was 2021, the last major Israeli bombardment on Gaza. You never knew you were the reason that I first listened to my favorite bands or watched Portrait of a Lady on Fire. everything comes back to you. now you are a student abroad and Israeli occupation bombs may take everyone and everything you ever loved away. Your mom, your home, your memories. I am so sorry the world failed you. that your mom, sister, best friends, everything is lost in this genocide."
711895,,,"keep fighting, dearest palestinian siblings. you will be free to live and love"
