short_id,lon,lat,description
36031,,,"Was an a birthright trip here when I first kissed my now girlfriend. It was drunk and sloppy and started as a Juul pass, but it was beautiful and felt so right. I love you, OOT."
36042,,,hey nat I love you
36285,,,GUESS WHO'S GAAAYYYYYYYYY AS FUCK
36650,,,"We matched on tinder and you invited me for tea. I ended up staying for 3 nights in a row. We talked about religion, sex, being circumcised, mental health, love and watching the same kids tv shows growing up event though we were from two very different countries. I left for Tel Aviv and you came after me. I still think about you everyday, I hope you're not mad at me."
36766,,,A gay person exists here and annoys her roommates
36769,,,Visited my first gay bar after living in a homophobic country
36771,,,Had some wonderful sex with women here. The admiration of a blonde and experienced women made me live.
36773,,,Had some wonderful sex with women here. The admiration of a blonde and experienced women made me live.
36775,,,Long live the Bastet!
36842,,,"Came out as bi to a friend, sat on the grass for a whole hour and talked,"
36865,,,"I met my first real-life queer friends here, had my first girlfriend, got dumped by my first girlfriend, sat discussing and explaining queer theory with/to younger classmen. I saw so many queer people thriving at this school. maybe it wasn't perfect (in fact I have many bad memories from here), but there are so few places I would've felt comfortable coming out at so early in life."
36872,,,"I told the guy the guy who told me about bisexuality that I thought I might be bi. despite being totally accepting of his bi sister, he said he thought I was confused."
36874,,,my mother finally started accepting my sexuality after she drove me to visit her gynecologist
39509,,,"I was in middle school and thought I was straight. Then I accidentally kissed a girl on the cheek. Yes, accidentally. In front of a teacher. And then I ran away in panic to contemplate the fact that maybe I’m not as straight as I though."
39513,,,I came out for the first time. Also confessed my feelings to the guy who later became my boyfriend for about a year. We sang duets from musicals and read each other poetry. We were nerds.
39536,,,"You came to drink tea in these Turkish tea glasses. At first, I didn't think anything is too special, just regular sex with a tourist. But we felt things for the next days until you had to return to your boyfriend. I hope you're just fine, I wish possibilities were different."
39908,,,Met some queer Israeli activists here. They really inspired me.
42605,,,i visited at the western wall with my friends for the first time since coming out as transmasc. I was terrified they would throw me out if they realized i was born female. my heart was ready to burst when i followed my friend onto the men's side. when i finally reached the wall without incident i touched it and thanked God for letting me be who i truly was.
42625,,,you told me not to lick the salt crystals so i ate an entire one just to prove to you that my queer ass could do anything i put my mind to
45416,,,I accidentally kissed you on the cheek then ran away. That was my first clue that I might not be as straight as I thought.
45427,,,"I moved here a few months ago with my queerplatonic, the man who I love platonicly and openly and is also my spouse. Our families are tough on us but we will make it better. For the first time in my life, I feel good about myself and my life. love you hunny <3"
47121,,,my shitty high school where i first discovered i was a lesbian. kinda homophobic so i was scared to come out
47124,,,where i first met her. she's my best friend but i kinda had a crush on her to be honest
47128,,,where my first IGY group would meet. you guys made me feel welcome. i love you dearly
48177,,,had a crush on you
48537,,,I am so lost.
49769,,,Saw my first pride parade here while on holiday. I was seven and I thought the colours looks so fun
49879,,,Went to pride after the organizers for my Birthright trip fought to allow our group to go on behalf of me and the other couple queer kids there. Mishpacha
50296,,,I turn the cats queer.
51325,,,Bby it ain’t no lie I’m bi bi bi
52924,,,came here on a birthright trip. Became instant friends with this girl who im still friends with 4 years later. she was the first girl i had real feeling for and made me realize i wasn't straight.
53356,,,"At the Ulpena on the bench in front of the far building, came out to a friend as bi...who subsequently came out as bi, too. We don't talk anymore but that was my first face-too-face coming out. I'll never forget it."
53964,,,"My first pride march
I have never felt safer and more camfortble in my own skin beafore first time covered in rainbows smiling ear to ear"
54374,,,"I met you here for the first time, those two weeks in the summer when we were both awkward tweens. It's been 3 years, I'm happy that we're together now"
56642,,,"I finally realised that there would be people in this world that I could fall in love with, that I could be happy with. That I could live a religious life and still love women in a way so many deem unholy. I knew you for ten days and still I think of you and your righteous eyes."
56643,,,"This is where I fell in love with you for the first time, you with your coiled hair and bright brown eyes. The smartest person I'll ever meet, and for a very long time, the girl I thought I was destined to love forever."
56925,,,Had a couple of sweet crushes on lovely humans here. Helped keep me grounded.
57953,,,aro-ace. went to scool here & had a lot of friends like me. we all knew who we are from a very young age. because of this environment i wasn't in the closet for even a day. didn't have to.
58698,,,Saw a pride flag in Israel for the first time
60955,,,Danced in the street with her.
63362,,,"Shortest day of the year, when it rains and everything is blurry with fog."
63897,,,"First time I came out to anyone face-to-face was on the picnic bench outside of the farthest building. She came out to me right after. You'll get through yeshiva or ulpena, and you're not alone."
64883,,,as soon as i stepped out of class i saw u waiting for me and i wanted to kiss u but never told you about it and buried the gay away
65023,,,"My first pride parade ever. Among the crowd, I finally felt like I belonged."
65025,,,Every year there is a seminar here for the LGBTQ student's association here. I've never felt so at peace.
65772,,,"Had my first crush on a girl. I kept trying to find reasons to hold her hand, but she always beat me to it. One time on a bus she fell asleep with her arm around my waist and her head on my shoulder. We confeesed to each other but in the end nothing came out of it and we drifted apart. I wish I knew how to love when I was 16 years old. I still feel sorry."
66823,,,"It was somewhere around here - my first IGY experience. Met one of my best friends there, and it really helped me come out of the closet in my personal life, too."
66824,,,I fell in love with my best (same sex) friend here. It was the worst heartbreak of my life.
66826,,,We kissed here for the first time. It was so corny.
66828,,,We were making out at the pride parade and nearly had sex right on that bench
66829,,,Sex in the bathroom. Pretty sure half of the lgbt youth in tel aviv did it in that very stall
68551,,,"There are a lot of LGBTQ+ people here in HaKfar HaYarok, including me. There's a reason it says ”Here I loved my first love” in the lyrics of HaKfars hymn."
68926,,,I fell in love with you. You were my roommate. I miss you so much.
68948,,,"Came out to my friends for the first time here. Years have passed and contact was lost, but man, I miss them."
69028,,,"told my dad i'm going out with another girl, it was very casual and so was his reaction. eighth grade"
69029,,,First kiss with a girl
69030,,,First kiss with a girl
69045,,,met the most beautiful girl i've ever seen in my life in theatre class.
69054,,,came out here to my mom
69056,,,came out here to my dad
69066,,,first kiss with a girl
69078,,,"I was closeted when I went to my first pride. I was there with IGY, and even though I knew I would be accepted I was afraid to come out. At pride, there were so many people. When I came back a year later, I was with my parents. This year, I'll be there with my friends."
72503,,,I was scared I’d be alone here but I found my place with lgbt and straight people who accepted me
72504,,,Got lost with my first girlfriend here
72550,,,saw two women kissing on the bus for the first time (we were on the way to the pride parade)
73789,,,We kissed here for the first time. You tasted like peach. I'm so glad for everything we had and also for where we are today.
75202,,,"you are not alone. אוהבת אתכם מאוד
(ודברו עם ורד וליטל יא מפלצות אומנותיות בסיכון)"
75204,,,"Y'all are valid and loved, stay strong 3>"
75208,,,"we're here
we're queer 
we're filled with existential fear

(stay safe)"
75594,,,We kissed here for the first time. We joked about who's supposed to make the first move and you tasted like peach. I'm so glad for everything we had.
76670,,,Held hands with you here as we lay in bed together. I miss our soft moments.
77211,,,saw a movie here and realized that I'm bisexual
78138,,,I was on my way home after a long day and saw someone on the street with trans and pan pride pins on their backpack. Desperately wanted to find a subtle way to show pan solidarity but all i ended up doing was cross the street. It made my day
78387,,,I can't wait to come to Tel Aviv pride when I go to Israel for the first time. Being Jewish has helped me with understanding my queer identity. I love Eretz Yisrael.
78443,,,The first boy I ever kissed lived here. His cousin found out and tried to stab me. I haven't been back since.
78445,,,I had to leave after they found out
79423,,,My first kiss with my girlfriend
80079,,,"Went to a bi/pan party on Bi Visibility Day 2019. Danced, drank and laughed with other queer friends."
80959,,,"אני אוהב אותך יותר מכל, הפרפר שלי"
81400,,,a palestinian lesbian dreams of these streets often
82172,,,Joined the queer alliance in the campus. First time I got to talk to someone who is like me in real life.
82176,,,"Laughing about Star Wars, being my himbo self and meeting you for the first time, I fell in love head over heels. I realised I was gay only several weeks before that, at age 30, and I was so happy I knew who I was. I'll probs never confess, but you are my pack and I love you, in more ways that I can count. I hope one day smth will happen, but even if not, its ok. I love you anyway, no matter what"
84128,,,On Shnat I asked my friends to use the pronouns that make me comfortable and happy. They did. Thank you.
94048,,,you are the greatest love ive ever had and known. i’m so proud of you for coming out to your mom. even though i’m not out yet and it’s not so certain if this will ever work out for us i’m happy we have each other. i love you my beautiful angel. you make me so so happy every day i see you. i love driving back at 4am from kiryat-ono just so i could be with you for a couple of hours. so worth it.
94051,,,i’ve know i’m bi since 8th grade. being in a religious community while dealing with my sexuality can be rough. if anyone else from modiin feels the same way as i do. drop a pin down below :) just want to know i’m not alone.
103679,,,"This was the spot where I met other queers for the first time in my life. It was 2001. I was barely out of the closet and scared my parents would never accept me. These people were my family for a long time. Some of them have since gone out of my life, but I still think fondly of them and hope they're doing OK, wherever they are <3"
103812,,,"I came out to you and you asked me if it's ok for a young person to contact me in the future for advice on the matter. I didn't expect it, and I hope the young person is doing alright since they never contacted me."
105036,,,"Came out to my mom here after we went together to a queer rights protest. We sat at a coffee shop next to three drug queens who were also protesting. I said there was something I needed to tell her, but was so nervous and couldn't get the words out of my mouth. She asked if something bad had happened to me, if somebody hurt me. When I finally told her I was bi she was so relieved nothing bad happened that she laughed."
113934,,,FREE PALESTINE
115098,,,I went to school here. I wasn't the first gay student and I won't be the last.
116636,,,"free palestine! sincerely, a gay jew 💕"
118563,,,first kissed a girl here. we sat in front of each other for 20 minutes instead of just getting on with it. one of the best days of my life.
121798,,,FREE PALESTINE <3
122694,,,free palestine
124100,,,Came out to my parents as Bi.
124283,,,Im nonbinary lol
124771,,,I came out to my parents.
125626,,,"You held my hand here, and for the first time I could feel you testing the boundaries of our friendship. A few months have gone by since then, and we don't talk about it openly, but I'm pretty sure we're dating now"
126886,,,I came out as trans when I was 14 (Sept 1st 2016) at the first day of 9th grade. I am now 19 and It's definitely the best decision of my life. - FLEUR
126888,,,This is Me again (from sha'ar efraim) this is kinda the place where I came out publicly as trans to my classmates. I couldn't find the exact location of my highschool but it's close enough - FLEUR
127108,,,You were the first girl I dated. I miss you and I miss what our bodies would do together.
127109,,,Where I first had sex with a girl.
127548,,,"finally accepted im bi after a girl in our base took me aside for a talk where she asked me if i was really bi, said she ""used to be bi herself"", pinned me to her bed while on top of me in a platonic way, and i got so flustered i couldnt stop thinking about it 2 years later. israeli girls are the devil"
128297,,,"She was the first women i ever dated as bi- right before i became 20
It has been two years and although nothing came out if it - not even a kiss
She was so kind to me, even when we broke up.
I wish i will find my next date, hopfully girlfriend, in the next few years."
128298,,,"I am still freaking in love with you.
I realized it too late, and our friendship was broken because of me. I wanted to die, but not because of you. Because another friend i was in love with and never told her and she broke up with me before everything went to shit. I miss our friendship so much. I wish i wasn't an idiot or deepressed. 
I wish you would have read it, but you never will Xx"
128584,,,"i fell in love with her, here. she never knew."
128748,,,"her windy hair at sunset.. the first time I thought to myself ""maybe I'm queer"""
129553,,,i hated this school but at least i met you.
130002,,,"this school sucks but at least I met you. I don't even care that you have a boyfriend, sometimes a one sided relationship is so strong its enough for both. I love you, but not in the way you think, not anymore. you forced me to grow up and I'll always be grateful."
132153,,,"Came out to all my friends and have an amazing support system, except my parents who consider me a failure but one day I’ll move out"
132433,,,"Going to sem next year (2022). Really nervous because I will be forced into being Jewish, more than I want to be. I want to get a girlfriend here, my first one ever. Or at least have other queer people on Neve campus with me. 

Meet me; I always wear crocs and I like purple :)"
132502,,,"got into my first queer relationship around here and made some great lgbt friends.  thank you for being so supportive, everyone in middle school."
132958,,,free palestine
134898,,,"I miss you so much
I guess a part of me loved you as more then just a friend, i can see it now 
I wish you were already gone from my memory"
135320,,,from the river to the sea - Palestine will be free ♥️
135937,,,I existed all over here. Was subjected to checkpoints and segregation here. I yearn to return here. A queer Palestinian. Free Palestine and f*ck pinkwashing.
135939,,,I was here. I was queer. Free Palestine <3
138607,,,"palestinian moroccan femme frecha grew up here. 
to my younger self & my current self: you are worthy of love, freedom, the sea, delicious food, amazing sex, flowers, your ancestors' guidance and blessings.
you will spend so many years wishing you could come home, but eventually you'll realize that home was in your heart the whole time.
never compromise on any part of who you are.
tel aviv is palestine
and she will be free."
139958,,,"I had my first gay kiss here as the sun set over the Dome of Rock in front of us. I, a Palestinian Muslim, and he, a British man, seemed to silently understand the irony of our kiss amidst the 3 of the holiest sites in the world."
141794,,,"Free Palestine!
FUCK pink-washing"
143508,,,free palestine!!!
143705,,,"had my first kiss with a boy here, and that same day i had my first kiss with a girl. now i live in the u.s with my girlfriend, feeling so lucky to be able to express my love to her everyday. queer muslims exist. queer palestinians exist."
143927,,,Free Palestine!
144471,,,"Pls know despite what the media says there are gay Palestinians. We are here, we are queer. Free Palestine."
151093,,,"the hometown that i, a queer palestinian, will return to one day<3"
152357,,,my Palestinian brother found out i was gay and told his twin brother and surprisingly they were accepted and one of them was bisexual. also Free Palestine and don NOT forget that Israel is a colonial state that also persecutes queer Palestinians as well as every Palestinian. stop the Pinkwashing.
155412,,,Hi im fruity
155423,,,Hey gaza is full of LgBTq. We stan the lezbos
156186,,,said “i love you” to her for the first time(free palestine)
156895,,,"Came out to my best friend, in al istiqlal park , was a big mistake tbh , he outed me to the whole school… but still, i love you . I miss you , I forgive you .. wish things were different, i hope you r ok .. oh one last thing FREE PALESTINE ♥️"
157853,,,I love you
157978,,,"Summer of 2021, my first pride parade. One of the greatest things I got to experience."
158292,,,"Had in here my first sex with a girl,
It was fantastic"
158505,,,Got my heart broken...
167974,,,"We had our first kiss here and it was the best first kiss I’ve ever had with anyone,  I love you"
171624,,,I'll never forget you.
177616,,,"This is where I grew up, and I'm QUEER."
180871,,,stanning the palestinian gays
182683,,,"reminder that not supporting israel isnt anti-semitism, and a reminder that every palestine is being colonized by israeli settlers. free palestine."
182986,,,Free Palestine - end pink washing! no genocide in our name!
185034,,,"I had known that I was a lesbian for a while, but you definitely confirmed it with that kiss under the stars"
187927,,,"My grandparents were born here before their exodus in 1948, so please don’t support the occupation because of their pink-washing. I deserved to live here just as they did, I deserved to be indigenous to my land and not a stranger everywhere I went. I miss a city I’ve never seen and it hurts. A gay Palestinian is indigenous to here and always will be."
195257,,,"I’ve always imagined you and me sitting out in the sun, hand and hand, free at last. We spoke of all the places we would go if we could. Yet you are gone now. If I had known that bombs raining down on us would take you from me, I would have gladly told the world how I adored you more than anything. I’m sorry I was a coward."
196538,,,"Hi to anyone who might see this. I just wanna say that it gets better. It really does.
I came out as transmasc 3 years ago and am now living as a guy, i have tons of friends who love me, my family accepts me, i have a nice job and I'm happy.
I thought about k***ing myself for years before i came out, now i can't imagine it.
Be you, it'll be fine."
197054,,,free palestine we love the gay palestinians
210619,,,I dream of a time when Palestine is liberated and I can finally set foot in a place where my culture is not used as an excuse to oppress and enslave. Then and only then will I put my forehead to the Western Wall and cry a thousand tears for the members of my family who could not do the same
214793,,,My religious bestie finally came out to me after waiting for ages for her to realize she’s bi and accept it.
227947,,,"My first kiss, which was already really bad, but then the (out of the closet gay) guy told me that he's not attracted to me and started having a sexuality crisis as I'm on his lap."
238213,,,"from the river to the sea, we are queer and palestine will be free"
266532,,,I wish I could watch the sunset over Gaza sea with you. For one night I wish this occupation was no longer and that we could be free for once on our own land.
268001,,,"I have never seen my city, I want to go home and meet my family, but I can't.
The occupation affects 100% of Palestinians, not just the straight cis ones, remember that."
